,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
95,LHX,2019-08-06,8.0,205.1199951171875,205.1199951171875,4.885374555640684,200.23462056154682,200.23462056154682,219.77611878410954,219.77611878410954,buy,
96,NEM,2019-08-06,1.0,37.9900016784668,37.9900016784668,0.9977195405150743,36.992282137951726,36.992282137951726,40.98316030001202,40.98316030001202,buy,
97,CPRT,2019-08-07,19.0,75.05000305175781,75.05000305175781,1.4542929944509966,73.59571005730682,73.59571005730682,79.4128820351108,79.4128820351108,buy,
98,EXR,2019-08-08,11.0,118.70999908447266,118.70999908447266,2.066150163531438,116.64384892094122,116.64384892094122,124.90844957506697,124.90844957506697,buy,
99,TSN,2019-08-08,4.0,88.69999694824219,88.69999694824219,2.324025518080154,86.37597143016204,86.37597143016204,95.67207350248265,95.67207350248265,buy,
100,MKTX,2019-08-09,2.0,362.1499938964844,362.1499938964844,9.275036162253272,352.8749577342311,352.8749577342311,389.9751023832442,389.9751023832442,buy,
101,VTR,2019-08-09,4.0,71.58000183105469,71.58000183105469,1.5897241121758394,69.99027771887884,69.99027771887884,76.3491741675822,76.3491741675822,buy,
102,HSY,2019-08-13,2.0,155.36000061035156,155.36000061035156,2.5669307954483247,152.79306981490325,152.79306981490325,163.06079299669653,163.06079299669653,buy,
103,NEM,2019-08-06,1.0,37.9900016784668,37.65999984741211,0.9977195405150743,36.992282137951726,38.28425911876837,40.98316030001202,42.54721654017927,sell,2019-08-13
104,WU,2019-07-25,7.0,20.84000015258789,20.770000457763672,0.28653621605952967,20.55346393652836,21.17131405070718,21.69960880076648,22.926060289284706,sell,2019-08-14
105,CME,2019-08-06,17.0,208.3800048828125,208.33999633789062,4.23823139438111,204.1417734884314,211.3171800904857,221.09469906595584,228.92846461135542,sell,2019-08-14
106,LHX,2019-08-06,8.0,205.1199951171875,207.72000122070312,4.885374555640684,200.23462056154682,209.294495464834,219.77611878410954,229.91650139846672,sell,2019-08-14
107,CPRT,2019-08-07,19.0,75.05000305175781,74.30999755859375,1.4542929944509966,73.59571005730682,74.80166432330611,79.4128820351108,80.75501069219104,sell,2019-08-14
108,TSN,2019-08-08,4.0,88.69999694824219,85.76000213623047,2.324025518080154,86.37597143016204,86.37597143016204,95.67207350248265,95.67207350248265,sell,2019-08-14
109,MKTX,2019-08-09,2.0,362.1499938964844,356.6600036621094,9.275036162253272,352.8749577342311,357.79977961029726,389.9751023832442,394.68061722379576,sell,2019-08-14
110,HSY,2019-08-13,2.0,155.36000061035156,152.4199981689453,2.5669307954483247,152.79306981490325,152.79306981490325,163.06079299669653,163.06079299669653,sell,2019-08-14
111,HSY,2019-08-15,8.0,155.5,155.5,2.6907208226398343,152.80927917736017,152.80927917736017,163.5721624679195,163.5721624679195,buy,
112,LHX,2019-08-20,5.0,212.58999633789062,212.58999633789062,4.482941625531758,208.10705471235886,208.10705471235886,226.0388212144859,226.0388212144859,buy,
113,WEC,2019-08-21,9.0,92.73999786376953,92.73999786376953,1.4701154755989694,91.26988238817056,91.26988238817056,97.15034429056644,97.15034429056644,buy,
114,EW,2019-08-21,9.0,73.93000030517578,73.93000030517578,1.5554827126944324,72.37451759248135,72.37451759248135,78.59644844325908,78.59644844325908,buy,
115,MLM,2019-08-22,3.0,255.11000061035156,255.11000061035156,5.3600574655279365,249.74994314482362,249.74994314482362,271.19017300693537,271.19017300693537,buy,
116,TSN,2019-08-22,3.0,91.66000366210938,91.66000366210938,2.114931911352119,89.54507175075726,89.54507175075726,98.00479939616574,98.00479939616574,buy,
117,EW,2019-08-21,9.0,73.93000030517578,72.22333526611328,1.5554827126944324,72.37451759248135,72.37451759248135,78.59644844325908,78.59644844325908,sell,2019-08-22
118,AMGN,2019-08-23,2.0,199.0800018310547,199.0800018310547,5.089464976529092,193.9905368545256,193.9905368545256,214.34839676064198,214.34839676064198,buy,
119,LHX,2019-08-20,5.0,212.58999633789062,208.88999938964844,4.482941625531758,208.10705471235886,209.78868995577017,226.0388212144859,227.35390083581447,sell,2019-08-23
